generation,suicides,percent
Boomers,2284498,0.33852338769667567
G.I. Generation,510009,0.07557457893847745
Generation X,1532804,0.2271352405451943
Generation Z,15906,0.0023569961561372885
Millenials,623459,0.09238592144531609
Silent,1781744,0.2640238752181992
