name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Argentina,2140.0,1951.0,2184.0,2230.0,2241.0,2204.0,2229.0,2184.0,2347.0,2423.0,2774.0,3132.0,3162.0,3289.0,3121.0,3058.0,3108.0,2946.0,3059.0,2884.0,2943.0,2912.0,3248.0,2987.0,3231.0
Austria,1825.0,1769.0,1759.0,1704.0,1776.0,1788.0,1779.0,1592.0,1559.0,1555.0,1588.0,1489.0,1553.0,1456.0,1422.0,1399.0,1297.0,1285.0,1267.0,1278.0,1264.0,1288.0,1276.0,1291.0,1314.0
Belgium,1895.0,1805.0,1878.0,2142.0,2131.0,2155.0,2013.0,2146.0,2019.0,1857.0,2143.0,2165.0,2076.0,2091.0,1987.0,2029.0,1935.0,1857.0,1999.0,2013.0,2013.0,2088.0,2026.0,1895.0,1899.0
Brazil,4803.0,5156.0,5207.0,5508.0,5896.0,6536.0,6698.0,6891.0,6922.0,6507.0,6763.0,7710.0,7697.0,7839.0,7995.0,8529.0,8618.0,8855.0,9184.0,9346.0,9429.0,9822.0,10295.0,10513.0,10631.0
Bulgaria,1323.0,1384.0,1519.0,1470.0,1464.0,1433.0,1526.0,1465.0,1503.0,1307.0,1383.0,1314.0,1317.0,1092.0,1013.0,982.0,977.0,902.0,939.0,868.0,859.0,763.0,872.0,721.0,724.0
Chile,743.0,787.0,658.0,740.0,801.0,930.0,917.0,910.0,1031.0,1041.0,1473.0,1625.0,1603.0,1654.0,1735.0,1682.0,1795.0,1848.0,2088.0,2148.0,2001.0,2027.0,1841.0,1738.0,1789.0
Colombia,865.0,1010.0,1086.0,1085.0,1198.0,1150.0,1209.0,1242.0,2052.0,2143.0,2358.0,2412.0,2379.0,2269.0,2244.0,2102.0,2177.0,2181.0,2220.0,2249.0,2107.0,2044.0,2119.0,2068.0,2126.0
Costa Rica,157.0,125.0,149.0,164.0,162.0,209.0,209.0,187.0,223.0,233.0,239.0,198.0,275.0,315.0,325.0,272.0,350.0,270.0,261.0,278.0,311.0,316.0,302.0,311.0,268.0
Czech Republic,1997.0,1904.0,1991.0,1917.0,1872.0,1733.0,1568.0,1666.0,1613.0,1610.0,1649.0,1623.0,1534.0,1719.0,1583.0,1565.0,1400.0,1379.0,1379.0,1464.0,1502.0,1590.0,1658.0,1577.0,1489.0
Ecuador,448.0,494.0,505.0,574.0,512.0,546.0,593.0,579.0,546.0,616.0,534.0,584.0,577.0,675.0,791.0,943.0,900.0,1005.0,928.0,964.0,912.0,918.0,976.0,676.0,734.0
Finland,1512.0,1493.0,1451.0,1397.0,1387.0,1388.0,1247.0,1322.0,1228.0,1207.0,1165.0,1204.0,1095.0,1075.0,1064.0,994.0,1062.0,995.0,1033.0,1034.0,954.0,912.0,873.0,887.0,789.0
France,11403.0,11502.0,11644.0,12251.0,12041.0,11819.0,11279.0,11139.0,10534.0,10268.0,10849.0,10449.0,10643.0,10871.0,10804.0,10713.0,10423.0,10127.0,10353.0,10499.0,10379.0,10408.0,9743.0,9600.0,8881.0
Germany,13924.0,14010.0,13458.0,12690.0,12718.0,12888.0,12225.0,12256.0,11654.0,11160.0,11073.0,11167.0,11176.0,11155.0,10741.0,10270.0,9775.0,9409.0,9459.0,9579.0,10030.0,10153.0,9896.0,10091.0,10217.0
Greece,349.0,381.0,351.0,412.0,355.0,370.0,356.0,374.0,403.0,381.0,382.0,334.0,323.0,375.0,353.0,400.0,394.0,328.0,373.0,391.0,377.0,477.0,508.0,533.0,565.0
Guatemala,158.0,156.0,173.0,165.0,142.0,211.0,157.0,179.0,201.0,234.0,182.0,202.0,258.0,253.0,250.0,238.0,298.0,327.0,492.0,511.0,352.0,359.0,420.0,455.0,512.0
