name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Iceland,40.0,37.0,28.0,26.0,25.0,27.0,33.0,33.0,30.0,31.0,50.0,36.0,30.0,26.0,35.0,33.0,32.0,37.0,38.0,36.0,46.0,27.0,37.0,49.0,44.0
Ireland,334.0,345.0,362.0,326.0,394.0,403.0,408.0,466.0,498.0,424.0,463.0,488.0,449.0,454.0,464.0,451.0,452.0,458.0,506.0,527.0,486.0,554.0,542.0,487.0,486.0
Israel,304.0,359.0,381.0,371.0,416.0,360.0,306.0,379.0,318.0,368.0,394.0,398.0,382.0,417.0,411.0,425.0,367.0,326.0,354.0,404.0,480.0,409.0,430.0,372.0,382.0
Italy,4402.0,4453.0,4543.0,4697.0,4536.0,4569.0,4689.0,4694.0,4504.0,4115.0,4108.0,4030.0,4069.0,4075.0,3986.0,3742.0,3700.0,3757.0,3904.0,3974.0,3989.0,4153.0,4257.0,4290.0,4147.0
Japan,20002.0,19780.0,20756.0,20353.0,20744.0,21249.0,21967.0,23280.0,31458.0,31115.0,29989.0,29132.0,29715.0,31881.0,30034.0,30369.0,29769.0,30665.0,30073.0,30523.0,29411.0,28766.0,26338.0,25991.0,24357.0
Kazakhstan,3172.0,3082.0,3356.0,4019.0,4024.0,4706.0,4773.0,4642.0,4313.0,3991.0,4428.0,4377.0,4240.0,4321.0,4394.0,3903.0,4076.0,4141.0,3997.0,3838.0,3609.0,3401.0,3240.0,3512.0,3119.0
Kyrgyzstan,547.0,543.0,491.0,563.0,581.0,605.0,480.0,496.0,509.0,556.0,510.0,560.0,567.0,479.0,438.0,470.0,463.0,482.0,473.0,458.0,500.0,471.0,524.0,446.0,461.0
Luxembourg,68.0,77.0,59.0,64.0,74.0,63.0,72.0,81.0,64.0,70.0,62.0,73.0,85.0,48.0,62.0,49.0,65.0,78.0,43.0,48.0,54.0,55.0,51.0,40.0,67.0
Malta,8.0,10.0,18.0,16.0,15.0,17.0,10.0,15.0,12.0,27.0,23.0,30.0,19.0,20.0,24.0,19.0,26.0,26.0,14.0,36.0,31.0,20.0,25.0,22.0,32.0
Mauritius,147.0,137.0,146.0,138.0,129.0,147.0,153.0,122.0,155.0,174.0,137.0,113.0,131.0,88.0,97.0,102.0,118.0,127.0,84.0,115.0,98.0,118.0,115.0,98.0,120.0
Mexico,1926.0,2103.0,2237.0,2342.0,2588.0,2877.0,3008.0,3350.0,3312.0,3327.0,3456.0,3760.0,3826.0,4070.0,4056.0,4274.0,4230.0,4285.0,4642.0,5023.0,4858.0,5558.0,5381.0,5711.0,6178.0
Netherlands,1450.0,1611.0,1587.0,1555.0,1584.0,1511.0,1577.0,1572.0,1519.0,1519.0,1501.0,1474.0,1570.0,1502.0,1514.0,1574.0,1525.0,1354.0,1439.0,1530.0,1604.0,1650.0,1756.0,1856.0,1839.0
Norway,659.0,675.0,616.0,590.0,531.0,548.0,517.0,533.0,548.0,583.0,541.0,549.0,494.0,502.0,529.0,533.0,532.0,485.0,505.0,573.0,548.0,598.0,515.0,554.0,548.0
Puerto Rico,371.0,355.0,314.0,345.0,355.0,289.0,331.0,273.0,321.0,289.0,305.0,289.0,239.0,262.0,279.0,289.0,265.0,271.0,300.0,330.0,286.0,258.0,248.0,241.0,220.0
Republic of Korea,3159.0,3069.0,3533.0,4124.0,4212.0,4841.0,5857.0,6024.0,8569.0,7075.0,6444.0,6911.0,8611.0,10898.0,11492.0,12011.0,10653.0,12174.0,12858.0,15402.0,15558.0,15906.0,14159.0,14426.0,13834.0
Romania,2079.0,2161.0,2650.0,2774.0,2887.0,2793.0,2828.0,2859.0,2838.0,2736.0,2836.0,2720.0,3067.0,2894.0,2720.0,2603.0,2721.0,2430.0,2472.0,2586.0,2766.0,2536.0,2495.0,2407.0,2209.0
Russian Federation,39028.0,39281.0,45923.0,55846.0,61420.0,60548.0,57511.0,54746.0,51518.0,56974.0,56619.0,56958.0,55024.0,51445.0,49096.0,45802.0,42614.0,41149.0,38211.0,37408.0,33356.0,31038.0,29643.0,28690.0,26541.0
Singapore,354.0,296.0,277.0,270.0,316.0,364.0,239.0,303.0,328.0,277.0,309.0,305.0,321.0,320.0,335.0,359.0,372.0,328.0,319.0,349.0,296.0,308.0,392.0,357.0,355.0
Spain,2939.0,2916.0,2786.0,3037.0,3171.0,3157.0,3320.0,3373.0,3261.0,3220.0,3394.0,3189.0,3372.0,3478.0,3508.0,3399.0,3247.0,3264.0,3457.0,3429.0,3158.0,3180.0,3539.0,3873.0,3911.0
Sweden,1471.0,1483.0,1355.0,1373.0,1324.0,1348.0,1253.0,1201.0,1231.0,1220.0,1131.0,1197.0,1180.0,1112.0,1155.0,1219.0,1197.0,1126.0,1170.0,1242.0,1141.0,1112.0,1154.0,1230.0,1148.0
Turkmenistan,298.0,273.0,271.0,240.0,234.0,244.0,283.0,333.0,405.0,442.0,383.0,445.0,416.0,377.0,392.0,468.0,506.0,354.0,484.0,165.0,178.0,130.0,138.0,101.0,136.0
United Kingdom,4643.0,4547.0,4628.0,4462.0,4380.0,4315.0,4165.0,4143.0,4389.0,4448.0,4290.0,4128.0,4117.0,3979.0,4183.0,4047.0,4122.0,3897.0,4259.0,4246.0,4188.0,4393.0,4444.0,4824.0,4788.0
United States,30895.0,30790.0,30471.0,31084.0,31123.0,31272.0,30879.0,30517.0,30558.0,29183.0,29343.0,30607.0,31645.0,31477.0,32428.0,32629.0,33292.0,34596.0,36030.0,36900.0,38362.0,39508.0,40596.0,41143.0,42769.0
