name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Argentina,141352368715.0,189719984268.0,228788617202.0,236741715015.0,257440000000.0,258031750000.0,272149750000.0,292859000000.0,298948250000.0,283523000000.0,284203750000.0,268696750000.0,97724004252.0,127586973492.0,164657930453.0,198737095012.0,232557260817.0,287530508431.0,361558037110.0,332976484578.0,423627422092.0,530163281575.0,545982375701.0,552025140252.0,526319673732.0
Austria,166463386663.0,173794177725.0,195078126346.0,190379720927.0,203535242742.0,241038283063.0,237250948791.0,212790348405.0,218259904402.0,217185787343.0,196799778883.0,197337879195.0,213377771504.0,261695778781.0,300904221505.0,315974418605.0,335998557270.0,388691445387.0,430294287388.0,400172297861.0,391892746545.0,431120310089.0,409425234155.0,430068712972.0,441885415806.0
Belgium,206430841502.0,211637816539.0,236038384442.0,225924679921.0,246194938751.0,289567323481.0,281358175896.0,254813599459.0,260601911536.0,260202429150.0,237904919845.0,237841968680.0,258860436665.0,319002821670.0,370885026074.0,387365750529.0,409813197842.0,471821105940.0,518625897173.0,484552792442.0,483548031197.0,527008453887.0,497884216569.0,520925468953.0,530770977634.0
Brazil,461951782000.0,602860000000.0,400599250000.0,437798577640.0,558111997497.0,769305386183.0,850426432992.0,883199625325.0,863723411633.0,599388579986.0,655420645477.0,559372276082.0,507962487700.0,558319920832.0,669316654017.0,891630175813.0,1107640297890.0,1397084345950.0,1695824571927.0,1667019780934.0,2208871646203.0,2616201578192.0,2465188674415.0,2472806919902.0,2455993625159.0
Bulgaria,20632090909.0,10943548387.0,10350515464.0,10829710145.0,9697416974.0,13063422619.0,10109612142.0,11195612105.0,14630992956.0,13495075366.0,13153016531.0,14075616789.0,16276456428.0,20982685981.0,25957970922.0,29636617750.0,34130122491.0,44411476557.0,54409138498.0,51884481410.0,50610058210.0,57418414504.0,53903022339.0,55758754072.0,56731990232.0
Chile,33113887818.0,37834793730.0,45964327559.0,49297773130.0,57008425296.0,73447063319.0,78039572222.0,84952360922.0,81577430181.0,75173794497.0,77860932152.0,70979923960.0,69736811435.0,75643459840.0,99210392858.0,122964812046.0,154788024806.0,173605968179.0,179638496279.0,172389498445.0,218537551220.0,252251992029.0,267122320057.0,278384332694.0,260584090571.0
Colombia,40274204595.0,41239551378.0,49279585355.0,55802538219.0,81703500846.0,92507279383.0,97160109278.0,106659508271.0,98443739941.0,86186158685.0,99886577331.0,98203546156.0,97933391976.0,94684584163.0,117074863822.0,146566264837.0,162590146096.0,207416494642.0,243982437871.0,233821670544.0,287018184638.0,335415156702.0,369659700376.0,380191881860.0,378195716714.0
Costa Rica,7403457319.0,7168999428.0,8528593084.0,9537297507.0,10432619390.0,11513472694.0,11618286553.0,12552071367.0,13617405420.0,14195623425.0,14949514585.0,15913363335.0,16504795453.0,17195867540.0,18529767934.0,19952156475.0,22600431878.0,26743874206.0,30612932876.0,30562361123.0,37268635287.0,42262697840.0,46473128286.0,49745088112.0,50577769838.0
Czech Republic,40477403220.0,29675502270.0,34590052812.0,40614350197.0,47554674591.0,59775697061.0,66985765439.0,61792161168.0,66490372105.0,64867483193.0,61649492817.0,67523642262.0,81910771994.0,99627140274.0,119162172468.0,136280689891.0,155463807113.0,189227050760.0,235718586901.0,206179982164.0,207477857919.0,227948349666.0,207376427021.0,209402444996.0,207818330724.0
Ecuador,15239278100.0,16988535268.0,18094238119.0,18938717359.0,22708673337.0,24432884442.0,25226393197.0,28162053027.0,27981896948.0,19645272636.0,18327764882.0,24468324000.0,28548945000.0,32432858000.0,36591661000.0,41507085000.0,46802044000.0,51007777000.0,61762635000.0,62519686000.0,69555367000.0,79276664000.0,87924544000.0,95129659000.0,101726331000.0
