name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Finland,141517648888.0,127866490222.0,112625431378.0,89255751015.0,103321570859.0,134199346405.0,132099404608.0,126833123354.0,133936359591.0,135225868315.0,125539893127.0,129250111857.0,139552983249.0,171071106095.0,196768065557.0,204436015421.0,216552502823.0,255384615385.0,283742493042.0,251499027508.0,247799815768.0,273674236773.0,256706466091.0,269980111643.0,272609288690.0
France,1269179616914.0,1269276828276.0,1401465923172.0,1322815612694.0,1393982750473.0,1601094756210.0,1605675086550.0,1452884917959.0,1503108739159.0,1492647560196.0,1362248940483.0,1376465324385.0,1494286655374.0,1840480812641.0,2115742488205.0,2196126103718.0,2318593651988.0,2657213249384.0,2918382891460.0,2690222283968.0,2642609548930.0,2861408170265.0,2683825225093.0,2811077725704.0,2852165760630.0
Germany,1764967948917.0,1861873895109.0,2123130870382.0,2068555542411.0,2205966011812.0,2591620035485.0,2503665193657.0,2218689375141.0,2243225519618.0,2199957383337.0,1949953934034.0,1950648769575.0,2079136081310.0,2505733634312.0,2819245095605.0,2861410272354.0,3002446368084.0,3439953462907.0,3752365607148.0,3418005001389.0,3417094562649.0,3757698281118.0,3543983909148.0,3752513503278.0,3890606893347.0
Greece,97891090929.0,105143232380.0,116224673043.0,108809058859.0,116601802107.0,136878366230.0,145861612826.0,143157600025.0,144428172835.0,142540728958.0,130133845771.0,136191353468.0,153830947017.0,201924270316.0,240521260988.0,247783001865.0,273317737047.0,318497936901.0,354460802549.0,330000252153.0,299361576558.0,287797822093.0,245670666639.0,239862011450.0,237029579261.0
Guatemala,7650125217.0,9406097735.0,10440842165.0,11399942453.0,12983235568.0,14655404433.0,15674835615.0,17790026222.0,19395491993.0,18318412251.0,19288827159.0,18702802395.0,20776669467.0,21917706491.0,23965275996.0,27211377225.0,30231249362.0,34113107086.0,39136893345.0,37733994976.0,41338595381.0,47654841113.0,50388454861.0,53851058955.0,58722323918.0
Iceland,6372905073.0,6807365898.0,6976080331.0,6126456175.0,6294803497.0,7018100153.0,7330965239.0,7548912105.0,8453704212.0,8917286036.0,8927140438.0,8136345144.0,9207689916.0,11316441660.0,13722824251.0,16691490114.0,17048647568.0,21319946740.0,17658408759.0,12944114736.0,13310567803.0,14732689535.0,14292008745.0,15548321544.0,17304033021.0
Ireland,49364681256.0,49847128533.0,55985506499.0,52480253169.0,57166037102.0,69222626263.0,75880632560.0,82826146132.0,90082034316.0,98691849563.0,99853528653.0,109133512304.0,127945379258.0,164285112867.0,193870350137.0,211650764830.0,232085535065.0,269917519847.0,275020023436.0,236311336482.0,221951354762.0,239018536582.0,225571853194.0,239389340720.0,258099014042.0
Israel,58986997917.0,67530220219.0,75575902932.0,75954641355.0,86307135997.0,100343219507.0,109957321960.0,114724862034.0,115979230547.0,117189920212.0,132339311284.0,130706147871.0,121069378150.0,126864966909.0,135445033199.0,142462925574.0,153966916311.0,178706717753.0,215840354627.0,207419370241.0,233609522091.0,261628548084.0,257296579579.0,292489185194.0,308416982140.0
Italy,1177326294441.0,1242109397534.0,1315806985860.0,1061445225791.0,1095590833694.0,1170787352906.0,1308929351236.0,1239050932242.0,1266309245009.0,1248563179203.0,1141759996315.0,1162317852349.0,1266510634293.0,1569649661400.0,1798314750435.0,1852661982341.0,1942633797516.0,2203053380783.0,2390729163615.0,2185160183384.0,2125058244243.0,2276292404601.0,2072823157060.0,2130491320659.0,2151732868243.0
Japan,3132817652848.0,3584420077101.0,3908809463464.0,4454143876947.0,4907039384470.0,5449116304981.0,4833712542207.0,4414732843544.0,4032509760873.0,4562078822335.0,4887519660745.0,4303544259843.0,4115116279070.0,4445658071222.0,4815148854362.0,4755410630912.0,4530377224970.0,4515264514431.0,5037908465114.0,5231382674594.0,5700098114744.0,6157459594824.0,6203213121334.0,5155717056271.0,4850413536038.0
Kazakhstan,26932728899.0,24881135586.0,24906939560.0,23409027476.0,21250839258.0,20374307047.0,21035357833.0,22165932063.0,22135245413.0,16870817135.0,18291990619.0,22152694162.0,24636593223.0,30833699703.0,43151647003.0,57123671734.0,81003884545.0,104849886826.0,133441612247.0,115308661143.0,148047348241.0,192626507972.0,207998568866.0,236634552078.0,221415572820.0
Kyrgyzstan,2674000000.0,2570833333.0,2316562500.0,2028295455.0,1681006993.0,1661018519.0,1827570586.0,1767864036.0,1645963750.0,1249062025.0,1369693171.0,1525112242.0,1605640633.0,1919012781.0,2211535312.0,2460248026.0,2834168889.0,3802566171.0,5139957785.0,4690062255.0,4794357795.0,6197766119.0,6605139933.0,7335027592.0,7468096567.0
Luxembourg,13229247948.0,14321878795.0,16065740778.0,16486900187.0,18325791415.0,21588170498.0,21776609772.0,19731912494.0,20209122027.0,22235929043.0,21263514833.0,21272418792.0,23616328816.0,29557325056.0,34685281848.0,37347394603.0,42414308117.0,50888134410.0,55849686539.0,51370543206.0,53212476812.0,60004630234.0,56677961787.0,61739352212.0,66327344189.0
Malta,2547163582.0,2750041434.0,3021910217.0,2709178327.0,2998570147.0,3439931907.0,3570271558.0,3705372039.0,3923637971.0,4127313818.0,4306192436.0,4331870648.0,4689832690.0,5456583589.0,6062780269.0,6394851387.0,6757119558.0,7880509171.0,8977149553.0,8528202278.0,8741059603.0,9507645260.0,9209559296.0,10145114180.0,11234045376.0
Mauritius,2653480001.0,2856890681.0,3224267548.0,3263368410.0,3558137040.0,4040345933.0,4421943910.0,4187367602.0,4169664285.0,4291172816.0,4582555125.0,4536538211.0,4767303154.0,5609831328.0,6385695187.0,6283803256.0,7028803366.0,8150138757.0,9990370016.0,9128843109.0,10003670690.0,11518393367.0,11668685524.0,12129642296.0,12803445934.0
Mexico,262709948091.0,314454015372.0,363609163462.0,500736065605.0,527813238126.0,360073909244.0,410975595310.0,500413483109.0,526502129378.0,600232874043.0,707906744575.0,756706300590.0,772106378935.0,729336319677.0,782240601985.0,877476221382.0,975387131716.0,1052696282279.0,1109989038339.0,900045362045.0,1057801282051.0,1180489563964.0,1201090018604.0,1274443078609.0,1314385330073.0
Netherlands,314267667675.0,323320449906.0,358330385840.0,349037818106.0,374291430318.0,446528959649.0,445704575163.0,412199006099.0,432476116419.0,441975282335.0,412807259996.0,426573601790.0,465368906456.0,571863431151.0,650532654582.0,678533764457.0,726649102998.0,839419655078.0,936228211513.0,857932759100.0,836389937229.0,893757287202.0,828946812397.0,866680000367.0,879635084125.0
Norway,119791683308.0,121872464483.0,130838040068.0,120579072751.0,127131461120.0,152027402450.0,163517783497.0,161354369893.0,154165219812.0,162286003693.0,171315639983.0,174003247439.0,195418347153.0,228752436372.0,264357494659.0,308722079938.0,345424664369.0,401082621083.0,462554432624.0,386622457580.0,429130952709.0,498831558926.0,510229136227.0,523502127660.0,499338534779.0
Puerto Rico,30603919000.0,32287031000.0,34630430000.0,36922456000.0,39690630000.0,42647331000.0,45340835000.0,48187039000.0,54086400000.0,57841000000.0,61701800000.0,69208400000.0,71623500000.0,74827400000.0,80322313000.0,83914521300.0,87276164400.0,89524131600.0,93639316000.0,96385638000.0,98381268000.0,100351670000.0,101564800000.0,102450000000.0,102445800000.0
Republic of Korea,279349355714.0,325734233313.0,350051111253.0,386302839274.0,455602962225.0,556130926913.0,598099073901.0,557503074772.0,374241351752.0,485248229337.0,561633125840.0,533052076314.0,609020054512.0,680520724062.0,764880644711.0,898137194716.0,1011797457139.0,1122679154632.0,1002219052968.0,901934953365.0,1094499338703.0,1202463682634.0,1222807284485.0,1305604981272.0,1411333926201.0
Romania,38995454545.0,28998684211.0,25121666667.0,26362894737.0,30074440483.0,37662075750.0,37182938696.0,35838588170.0,41976002704.0,36183003978.0,37438527800.0,40716836998.0,46174557556.0,59867801205.0,76216441462.0,99697566668.0,123533036668.0,175933642292.0,213605065703.0,172611845342.0,166658327827.0,184367381749.0,171664638717.0,191549024911.0,199493490983.0
Russian Federation,516814274022.0,517962962963.0,460290556901.0,435083713851.0,395077301248.0,395531066563.0,391719993757.0,404926534140.0,270953116950.0,195905767669.0,259708496267.0,306602673980.0,345110438692.0,430347770732.0,591016690743.0,764017107992.0,989930542279.0,1299705247686.0,1660844408500.0,1222643696992.0,1524916112079.0,2051661732060.0,2210256976945.0,2297128039058.0,2063662665172.0
Singapore,36152027893.0,45474442836.0,52156414979.0,60644572348.0,73777792327.0,87890009877.0,96403758865.0,100163995151.0,85707636233.0,86283126844.0,95833932715.0,89286208629.0,91941192896.0,97001377569.0,114188557567.0,127417688056.0,147797218201.0,179981288567.0,192225881688.0,192408387762.0,236421782178.0,275966926379.0,290673681684.0,304454327499.0,311539499645.0
Spain,535101248776.0,575598537070.0,629202392004.0,523649481762.0,529121577320.0,612939685081.0,640998292395.0,588692045455.0,617041986858.0,633194118900.0,595402616547.0,625975838926.0,705145868624.0,906853273138.0,1069555500372.0,1157276458152.0,1264551499185.0,1479341637011.0,1635015380108.0,1499099749931.0,1431616749640.0,1488067258325.0,1336018949806.0,1361854206549.0,1376910811041.0
Sweden,258154283909.0,270362531377.0,280312318915.0,209950792713.0,226079963712.0,264051981551.0,288103936773.0,264477727279.0,266800462899.0,270847937645.0,259802012617.0,239917320967.0,263926220333.0,331108912605.0,381705425302.0,389042298377.0,420032121656.0,487816328342.0,513965650650.0,429657033108.0,488377689565.0,563109663291.0,543880647757.0,578742001488.0,573817719109.0
Turkmenistan,3189539641.0,3208098919.0,3200539816.0,3179225949.0,2561118608.0,2482228440.0,2379281768.0,2450084970.0,2605688065.0,2450686660.0,2904662605.0,3534803922.0,4461978499.0,5977560877.0,6838351088.0,8104355717.0,10277598152.0,12664165103.0,19271523179.0,20214385965.0,22583157895.0,29233333333.0,35164210526.0,39197543860.0,43524210526.0
United Kingdom,1093169389205.0,1142797178131.0,1179659529660.0,1061388722256.0,1140489745944.0,1335218557677.0,1408781591264.0,1552483628029.0,1638511096390.0,1665623685488.0,1647951278560.0,1621510004318.0,1768408273381.0,2038395102041.0,2398555474185.0,2520701818182.0,2692612695492.0,3074359743898.0,2890564338235.0,2382825985356.0,2441173394730.0,2619700404733.0,2662085168499.0,2739818680930.0,3022827781881.0
United States,5979589000000.0,6174043000000.0,6539299000000.0,6878718000000.0,7308755000000.0,7664060000000.0,8100201000000.0,8608515000000.0,9089168000000.0,9660624000000.0,10284779000000.0,10621824000000.0,10977514000000.0,11510670000000.0,12274928000000.0,13093726000000.0,13855888000000.0,14477635000000.0,14718582000000.0,14418739000000.0,14964372000000.0,15517926000000.0,16155255000000.0,16691517000000.0,17427609000000.0
