name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Kazakhstan,14773900.0,14952800.0,15150100.0,15331400.0,15229600.0,14989600.0,14487700.0,14394600.0,13844200.0,13773400.0,13772422.0,13772696.0,13777476.0,13811863.0,13873328.0,13947770.0,14037676.0,14125606.0,14216053.0,14370635.0,14713167.0,14853350.0,15023549.0,15215382.0,15428844.0
Kyrgyzstan,3737300.0,3796500.0,3839300.0,3841200.0,3851100.0,3905400.0,3978800.0,4059900.0,4139700.0,4298100.0,4369202.0,4425784.0,4473163.0,4520843.0,4572278.0,4614533.0,4646475.0,4668640.0,4690924.0,4800134.0,4837556.0,4870538.0,4932360.0,5012200.0,5096430.0
Luxembourg,358800.0,362900.0,367300.0,372000.0,377000.0,382100.0,387700.0,392600.0,397915.0,403890.0,410164.0,413930.0,418106.0,423654.0,430128.0,437338.0,444821.0,452012.0,460371.0,469209.0,477979.0,488918.0,501044.0,512689.0,524940.0
Malta,327400.0,330800.0,334300.0,337700.0,341700.0,344900.0,348200.0,350400.0,353400.0,355600.0,362676.0,370541.0,374456.0,377785.0,380918.0,384111.0,386038.0,387581.0,390195.0,393102.0,394949.0,396423.0,399138.0,402728.0,406525.0
Mauritius,941100.0,938100.0,948300.0,958300.0,972800.0,981900.0,995000.0,1011700.0,1026300.0,1042400.0,1056073.0,1068947.0,1079755.0,1092234.0,1103091.0,1113942.0,1125301.0,1135233.0,1146258.0,1159551.0,1164931.0,1173352.0,1180547.0,1147390.0,1151424.0
Mexico,73076900.0,74796300.0,75285800.0,76826800.0,78374100.0,79927100.0,83802294.0,85340880.0,86825678.0,88271977.0,89694793.0,91052714.0,92394316.0,93758859.0,95193068.0,96730008.0,98468839.0,100294297.0,102170587.0,104044342.0,105875861.0,107655100.0,109368765.0,111036708.0,112692589.0
Netherlands,14014300.0,14114800.0,14216900.0,14313600.0,14397700.0,14474000.0,14553700.0,14639900.0,14734600.0,14832000.0,14933235.0,15038337.0,15130318.0,15203397.0,15265861.0,15320595.0,15368697.0,15425404.0,15506963.0,15602176.0,15691409.0,15772162.0,15839503.0,15899508.0,15899508.0
Norway,3961300.0,3972600.0,3989800.0,4010500.0,4033300.0,4055900.0,4078000.0,4102100.0,4129400.0,4159745.0,4168315.0,4215103.0,4243689.0,4273124.0,4301960.0,4335092.0,4372103.0,4417369.0,4472089.0,4527536.0,4582885.0,4643300.0,4706585.0,4767605.0,4827178.0
Puerto Rico,3204000.0,3237200.0,3287900.0,3312472.0,3343624.0,3375154.0,3401823.0,3432757.0,3464834.0,3492721.0,3511947.0,3522212.0,3523951.0,3519026.0,3511462.0,3504599.0,3499036.0,3493631.0,3488811.0,3484474.0,3480379.0,3475298.0,3472672.0,3471665.0,3470956.0
Republic of Korea,39589500.0,39993700.0,40371200.0,40754800.0,41145300.0,42076400.0,42507100.0,42956100.0,43395700.0,43817300.0,44271743.0,44710865.0,45110041.0,45455888.0,45779970.0,46151884.0,46513964.0,46814207.0,47101747.0,47380017.0,47598615.0,47798017.0,48020985.0,48248224.0,48465917.0
Romania,21401900.0,21458000.0,21227100.0,21307600.0,21386000.0,21451300.0,21397300.0,21369000.0,21338400.0,21310800.0,21290400.0,21272887.0,20700580.0,20656841.0,20610767.0,20569960.0,20526561.0,20475026.0,20433803.0,20390882.0,20348649.0,20291701.0,19041594.0,19003345.0,18952235.0
Russian Federation,136398200.0,137283000.0,138118900.0,137692800.0,138476200.0,139087100.0,139272600.0,139283200.0,139122100.0,138717800.0,138205695.0,137521509.0,136590900.0,137019868.0,137071699.0,136162191.0,135357462.0,134778964.0,134385949.0,134085433.0,134865987.0,134745874.0,134668522.0,134713962.0,134713962.0
Singapore,2511800.0,2559300.0,2604000.0,2655800.0,2712200.0,2765300.0,2823100.0,2880000.0,2940200.0,2997100.0,3047600.0,3103000.0,3165200.0,3226200.0,3281400.0,3342400.0,3411900.0,3389600.0,3448900.0,3536100.0,3576800.0,3600900.0,3631600.0,3661456.0,3689370.0
Spain,36861400.0,36958100.0,37000900.0,37122100.0,37203100.0,37275300.0,37341200.0,37405000.0,37458900.0,37789271.0,38319996.0,38713504.0,39340611.0,39947556.0,40555823.0,41195479.0,41808848.0,42547327.0,43199484.0,43490086.0,43595356.0,43642571.0,44318859.0,44227625.0,44172771.0
Sweden,8005700.0,8041100.0,8073200.0,8112500.0,8174100.0,8233000.0,8274300.0,8311300.0,8346300.0,8378013.0,8409008.0,8439317.0,8465828.0,8490539.0,8514314.0,8538624.0,8576044.0,8629159.0,8688504.0,8755922.0,8823125.0,8884644.0,8948909.0,9024081.0,9114524.0
Turkmenistan,3079800.0,3162500.0,3252900.0,3331100.0,3423100.0,3818200.0,3913000.0,4006400.0,4099200.0,3958754.0,4026478.0,4095981.0,4143692.0,4177740.0,4211000.0,4252530.0,4287650.0,4342657.0,4412135.0,4484467.0,4551185.0,4626095.0,4690058.0,4748055.0,4811227.0
United Kingdom,53557854.0,53903427.0,54076358.0,54283982.0,54497293.0,54746964.0,55012207.0,55266635.0,55527379.0,55833339.0,56133909.0,55571993.0,55908944.0,56171771.0,56455011.0,56809024.0,57091129.0,57382757.0,57683372.0,58013559.0,58403529.0,58881852.0,59708630.0,60091793.0,60570482.0
United States,229952200.0,232955000.0,235565600.0,238092300.0,240614100.0,243164200.0,245997800.0,248486400.0,251332500.0,253748671.0,262246108.0,265427546.0,268759559.0,271041510.0,273584136.0,276106680.0,278980848.0,280658606.0,282355565.0,285162662.0,287839149.0,290313825.0,292827128.0,295322862.0,297749735.0
