name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Argentina,4859.0,6404.0,7615.0,7768.0,8328.0,8232.0,8563.0,9057.0,9126.0,8546.0,8462.0,7900.0,2840.0,3668.0,4683.0,5590.0,6475.0,7918.0,9843.0,8961.0,11273.0,13946.0,14203.0,14206.0,13400.0
Austria,23020.0,23808.0,26450.0,25611.0,27274.0,32237.0,31660.0,28325.0,28972.0,28722.0,25922.0,25848.0,27772.0,33889.0,38711.0,40367.0,42698.0,49218.0,54294.0,50356.0,49181.0,53923.0,50979.0,53229.0,54278.0
Belgium,22032.0,22523.0,25036.0,23875.0,25922.0,30394.0,29438.0,26609.0,27087.0,26969.0,24592.0,24494.0,26526.0,32538.0,37661.0,39124.0,41135.0,47040.0,51345.0,47630.0,47355.0,50893.0,47678.0,49489.0,50173.0
Brazil,3516.0,4490.0,2924.0,3136.0,3925.0,5313.0,5771.0,5891.0,5663.0,3864.0,4156.0,3492.0,3121.0,3376.0,3984.0,5230.0,6403.0,7970.0,9555.0,9283.0,12161.0,14245.0,13283.0,13191.0,12975.0
Bulgaria,2451.0,1298.0,1287.0,1354.0,1213.0,1636.0,1270.0,1411.0,1852.0,1715.0,1680.0,1854.0,2157.0,2800.0,3485.0,4003.0,4638.0,6073.0,7487.0,7186.0,7066.0,8137.0,7745.0,8057.0,8241.0
Chile,2828.0,3187.0,3791.0,4006.0,4551.0,5695.0,5946.0,6368.0,6023.0,5470.0,5584.0,5020.0,4866.0,5208.0,6744.0,8256.0,10270.0,11387.0,11653.0,11062.0,13874.0,15854.0,16617.0,17140.0,15883.0
Colombia,1346.0,1348.0,1664.0,1845.0,2646.0,2796.0,2883.0,3106.0,2814.0,2419.0,2755.0,2662.0,2613.0,2489.0,3033.0,3742.0,4095.0,5150.0,5971.0,5643.0,6836.0,7885.0,8586.0,8731.0,8591.0
Costa Rica,2817.0,2651.0,3070.0,3342.0,3562.0,3672.0,3639.0,3827.0,4046.0,4115.0,4233.0,4412.0,4485.0,4583.0,4850.0,5133.0,5716.0,6661.0,7517.0,7403.0,8906.0,9978.0,10832.0,11443.0,11485.0
Czech Republic,4168.0,3070.0,3573.0,4186.0,4891.0,6134.0,6861.0,6314.0,6779.0,6606.0,6278.0,6863.0,8399.0,10220.0,12226.0,13961.0,15896.0,19273.0,23811.0,20748.0,20862.0,23010.0,20898.0,21073.0,20859.0
Ecuador,1732.0,1869.0,1955.0,1996.0,2335.0,2453.0,2474.0,2701.0,2626.0,1805.0,1650.0,2160.0,2472.0,2755.0,3051.0,3397.0,3759.0,4024.0,4787.0,4762.0,5206.0,5836.0,6364.0,6769.0,7116.0
Finland,30271.0,27214.0,23857.0,18826.0,21699.0,28068.0,27508.0,26296.0,27646.0,27800.0,25716.0,26383.0,28390.0,34701.0,39793.0,41202.0,43487.0,51089.0,56521.0,49878.0,48939.0,53809.0,50232.0,52572.0,52832.0
France,23968.0,23821.0,26136.0,24521.0,25697.0,29363.0,29305.0,26394.0,27190.0,27118.0,24648.0,24796.0,26714.0,32656.0,37240.0,38420.0,40097.0,45682.0,49901.0,45775.0,44747.0,48217.0,45002.0,46922.0,47318.0
Germany,23546.0,24662.0,27888.0,26937.0,28588.0,33420.0,32147.0,28420.0,28733.0,28154.0,24922.0,24874.0,26441.0,31816.0,35772.0,36289.0,38088.0,43667.0,47702.0,43570.0,43614.0,47947.0,45142.0,48563.0,50167.0
Greece,10179.0,10816.0,11818.0,10957.0,11638.0,13550.0,14330.0,13968.0,14008.0,13756.0,12509.0,13043.0,14676.0,19202.0,22804.0,23414.0,25739.0,29896.0,33168.0,30785.0,27886.0,26825.0,23309.0,22994.0,22834.0
Guatemala,996.0,1194.0,1294.0,1381.0,1538.0,1696.0,1775.0,1967.0,2091.0,1926.0,1977.0,1867.0,2022.0,2079.0,2215.0,2450.0,2653.0,2914.0,3252.0,3053.0,3260.0,3661.0,3779.0,3947.0,4210.0
Iceland,27316.0,28857.0,29311.0,25474.0,25937.0,28680.0,29740.0,30326.0,33513.0,34858.0,34372.0,30850.0,34556.0,42174.0,50528.0,60712.0,60243.0,73590.0,59489.0,43700.0,45179.0,49861.0,48083.0,51749.0,56833.0
Ireland,15312.0,15328.0,17051.0,15872.0,17188.0,20689.0,22478.0,24259.0,26115.0,28344.0,28340.0,30536.0,35154.0,44473.0,51662.0,55213.0,58941.0,67032.0,67173.0,57390.0,52042.0,56655.0,53443.0,56628.0,59634.0
Israel,14193.0,15267.0,16469.0,16102.0,17814.0,20159.0,21545.0,21921.0,21637.0,21319.0,23451.0,22623.0,20536.0,21133.0,22168.0,22901.0,24306.0,27712.0,32874.0,30812.0,34104.0,37528.0,36263.0,40477.0,41869.0
Italy,21472.0,22805.0,24297.0,19605.0,20235.0,21625.0,24172.0,22869.0,23342.0,23002.0,21027.0,21392.0,23227.0,28572.0,32704.0,33536.0,34578.0,38935.0,41935.0,38101.0,36869.0,40210.0,36497.0,37050.0,37035.0
Japan,26949.0,30688.0,33320.0,37832.0,41563.0,46043.0,40693.0,37080.0,33791.0,38164.0,40813.0,35843.0,34239.0,36926.0,39960.0,39412.0,37534.0,37408.0,41773.0,43415.0,47059.0,50919.0,51379.0,42781.0,40328.0
Kazakhstan,1823.0,1664.0,1644.0,1527.0,1395.0,1359.0,1452.0,1540.0,1599.0,1225.0,1328.0,1608.0,1788.0,2232.0,3110.0,4096.0,5770.0,7423.0,9387.0,8024.0,10062.0,12969.0,13845.0,15552.0,14351.0
Kyrgyzstan,715.0,677.0,603.0,528.0,437.0,425.0,459.0,435.0,398.0,291.0,313.0,345.0,359.0,424.0,484.0,533.0,610.0,814.0,1096.0,977.0,991.0,1273.0,1339.0,1463.0,1465.0
Luxembourg,36871.0,39465.0,43740.0,44320.0,48610.0,56499.0,56169.0,50260.0,50788.0,55054.0,51841.0,51391.0,56484.0,69768.0,80639.0,85397.0,95351.0,112581.0,121315.0,109483.0,111328.0,122729.0,113120.0,120423.0,126352.0
Malta,7780.0,8313.0,9040.0,8022.0,8775.0,9974.0,10254.0,10575.0,11103.0,11607.0,11873.0,11691.0,12524.0,14444.0,15916.0,16648.0,17504.0,20333.0,23007.0,21695.0,22132.0,23984.0,23074.0,25191.0,27634.0
Mauritius,2820.0,3045.0,3400.0,3405.0,3658.0,4115.0,4444.0,4139.0,4063.0,4117.0,4339.0,4244.0,4415.0,5136.0,5789.0,5641.0,6246.0,7179.0,8716.0,7873.0,8587.0,9817.0,9884.0,10572.0,11120.0
Mexico,3595.0,4204.0,4830.0,6518.0,6735.0,4505.0,4904.0,5864.0,6064.0,6800.0,7892.0,8311.0,8357.0,7779.0,8217.0,9071.0,9906.0,10496.0,10864.0,8651.0,9991.0,10965.0,10982.0,11478.0,11663.0
Netherlands,22425.0,22906.0,25205.0,24385.0,25997.0,30850.0,30625.0,28156.0,29351.0,29799.0,27644.0,28366.0,30757.0,37614.0,42614.0,44289.0,47281.0,54418.0,60375.0,54988.0,53302.0,56667.0,52334.0,54510.0,55325.0
Norway,30240.0,30678.0,32793.0,30066.0,31520.0,37483.0,40098.0,39335.0,37334.0,39013.0,41099.0,41281.0,46049.0,53533.0,61450.0,71215.0,79007.0,90797.0,103431.0,85394.0,93638.0,107430.0,108408.0,109804.0,103443.0
Puerto Rico,9552.0,9974.0,10533.0,11146.0,11871.0,12636.0,13328.0,14037.0,15610.0,16560.0,17569.0,19649.0,20325.0,21264.0,22874.0,23944.0,24943.0,25625.0,26840.0,27661.0,28267.0,28876.0,29247.0,29510.0,29515.0
Republic of Korea,7056.0,8145.0,8671.0,9479.0,11073.0,13217.0,14071.0,12978.0,8624.0,11074.0,12686.0,11922.0,13501.0,14971.0,16708.0,19460.0,21753.0,23982.0,21278.0,19036.0,22994.0,25157.0,25464.0,27060.0,29120.0
Romania,1822.0,1351.0,1183.0,1237.0,1406.0,1756.0,1738.0,1677.0,1967.0,1698.0,1758.0,1914.0,2231.0,2898.0,3698.0,4847.0,6018.0,8593.0,10454.0,8465.0,8190.0,9086.0,9015.0,10080.0,10526.0
Russian Federation,3789.0,3773.0,3333.0,3160.0,2853.0,2844.0,2813.0,2907.0,1948.0,1412.0,1879.0,2229.0,2527.0,3141.0,4312.0,5611.0,7313.0,9643.0,12359.0,9118.0,11307.0,15226.0,16413.0,17052.0,15319.0
Singapore,14393.0,17768.0,20029.0,22835.0,27202.0,31783.0,34148.0,34779.0,29150.0,28789.0,31446.0,28774.0,29048.0,30067.0,34799.0,38122.0,43318.0,53098.0,55735.0,54413.0,66099.0,76638.0,80040.0,83151.0,84442.0
Spain,14517.0,15574.0,17005.0,14106.0,14223.0,16444.0,17166.0,15738.0,16473.0,16756.0,15538.0,16169.0,17924.0,22701.0,26372.0,28092.0,30246.0,34769.0,37848.0,34470.0,32839.0,34097.0,30146.0,30792.0,31171.0
